frame,phase,time,s,x,y,z
9,extension,0.18,0.07895,0.045201,-0.006077,0.004365
9,extension,0.18,0.08684,0.049585,-0.009409,0.004774
9,extension,0.18,0.09474,0.054161,-0.013139,0.00559
9,extension,0.18,0.10263,0.058191,-0.018038,0.006043
9,extension,0.18,0.11053,0.062199,-0.022581,0.006846
9,extension,0.18,0.11842,0.066575,-0.027652,0.007055
9,extension,0.18,0.12632,0.070266,-0.032508,0.007345
9,extension,0.18,0.13421,0.074141,-0.037874,0.007521
9,extension,0.18,0.14211,0.077966,-0.043324,0.007818
9,extension,0.18,0.15,0.082622,-0.047822,0.007621
10,extension,0.2,0.0,7.7e-05,-8.7e-05,0.000191
10,extension,0.2,0.00789,0.00462,0.000811,-2e-06
10,extension,0.2,0.01579,0.009527,0.001827,-0.000292
10,extension,0.2,0.02368,0.014172,0.002303,0.000164
10,extension,0.2,0.03158,0.018532,0.002976,0.000292
10,extension,0.2,0.03947,0.02318,0.003127,0.00084
10,extension,0.2,0.04737,0.027875,0.002929,0.001223
10,extension,0.2,0.05526,0.032529,0.001957,0.001762
10,extension,0.2,0.06316,0.037112,0.000503,0.002423
10,extension,0.2,0.07105,0.041717,-0.001482,0.002799
10,extension,0.2,0.07895,0.046177,-0.003443,0.003804
10,extension,0.2,0.08684,0.050013,-0.006961,0.004536
10,extension,0.2,0.09474,0.054585,-0.010736,0.005371
10,extension,0.2,0.10263,0.058941,-0.014976,0.006067
10,extension,0.2,0.11053,0.063351,-0.019376,0.006546
10,extension,0.2,0.11842,0.067133,-0.024356,0.00691
10,extension,0.2,0.12632,0.071215,-0.029864,0.007944
10,extension,0.2,0.13421,0.07512,-0.035128,0.007907
10,extension,0.2,0.14211,0.079108,-0.041018,0.008244
10,extension,0.2,0.15,0.082831,-0.046585,0.008511
11,extension,0.22,0.0,-0.000254,-3e-06,-0.000135
11,extension,0.22,0.00789,0.004702,0.000857,-0.000423
11,extension,0.22,0.01579,0.009251,0.001826,-0.000288
11,extension,0.22,0.02368,0.013832,0.002672,-8.8e-05
11,extension,0.22,0.03158,0.018812,0.002975,0.000199
11,extension,0.22,0.03947,0.023648,0.00387,0.000452
11,extension,0.22,0.04737,0.028302,0.003461,0.000933
11,extension,0.22,0.05526,0.032951,0.003201,0.001246
11,extension,0.22,0.06316,0.037367,0.001957,0.002036
11,extension,0.22,0.07105,0.04219,0.000413,0.002511
11,extension,0.22,0.07895,0.046498,-0.001698,0.003422
11,extension,0.22,0.08684,0.050549,-0.004539,0.003897
11,extension,0.22,0.09474,0.054919,-0.007918,0.004625
11,extension,0.22,0.10263,0.059557,-0.011545,0.005469
11,extension,0.22,0.11053,0.063689,-0.016196,0.006385
11,extension,0.22,0.11842,0.067886,-0.021276,0.006994
11,extension,0.22,0.12632,0.072116,-0.026394,0.007535
11,extension,0.22,0.13421,0.076294,-0.032308,0.008091
11,extension,0.22,0.14211,0.080117,-0.03821,0.008327
11,extension,0.22,0.15,0.084125,-0.044063,0.008776
12,extension,0.24,0.0,-1.4e-05,0.000169,-0.000342
12,extension,0.24,0.00789,0.004568,0.000662,-2.6e-05
12,extension,0.24,0.01579,0.009617,0.001797,-0.000543
12,extension,0.24,0.02368,0.014175,0.002616,-0.00037
12,extension,0.24,0.03158,0.019175,0.003275,-0.000222
12,extension,0.24,0.03947,0.023843,0.003962,8.9e-05
12,extension,0.24,0.04737,0.028277,0.003745,0.000462
12,extension,0.24,0.05526,0.033367,0.00377,0.000479
12,extension,0.24,0.06316,0.037838,0.003431,0.001564
12,extension,0.24,0.07105,0.042495,0.002066,0.001777
12,extension,0.24,0.07895,0.046969,0.000321,0.002439
12,extension,0.24,0.08684,0.051777,-0.00174,0.003492
12,extension,0.24,0.09474,0.055781,-0.004884,0.004181
12,extension,0.24,0.10263,0.060379,-0.008452,0.004962
12,extension,0.24,0.11053,0.064755,-0.012766,0.005699
12,extension,0.24,0.11842,0.068644,-0.017619,0.00633
12,extension,0.24,0.12632,0.072916,-0.022633,0.007405
12,extension,0.24,0.13421,0.077436,-0.028506,0.008031
12,extension,0.24,0.14211,0.081279,-0.034485,0.008282
12,extension,0.24,0.15,0.0853,-0.040687,0.008787
13,extension,0.26,0.0,-8e-06,-1.2e-05,0.00027
13,extension,0.26,0.00789,0.004965,0.000704,-0.000276
13,extension,0.26,0.01579,0.009662,0.001517,-0.000682
13,extension,0.26,0.02368,0.014446,0.002333,-0.000798
13,extension,0.26,0.03158,0.019342,0.003358,-0.000853
13,extension,0.26,0.03947,0.024025,0.004162,-0.000284
13,extension,0.26,0.04737,0.02895,0.004492,-0.000314
13,extension,0.26,0.05526,0.033359,0.004675,0.000234
13,extension,0.26,0.06316,0.038407,0.004502,0.000621
13,extension,0.26,0.07105,0.042683,0.003504,0.001228
13,extension,0.26,0.07895,0.047454,0.002115,0.001866
13,extension,0.26,0.08684,0.051977,0.000146,0.002574
13,extension,0.26,0.09474,0.056512,-0.002326,0.00332
13,extension,0.26,0.10263,0.060867,-0.005688,0.004283
13,extension,0.26,0.11053,0.065271,-0.009827,0.0046
13,extension,0.26,0.11842,0.069794,-0.014009,0.00568
13,extension,0.26,0.12632,0.07425,-0.01948,0.006567
13,extension,0.26,0.13421,0.078509,-0.024807,0.007234
13,extension,0.26,0.14211,0.082293,-0.030741,0.007985
13,extension,0.26,0.15,0.086672,-0.036615,0.008667
14,extension,0.28,0.0,0.000286,5e-06,0.000263
14,extension,0.28,0.00789,0.004856,0.000599,-0.000316
14,extension,0.28,0.01579,0.010213,0.001483,-0.000753
14,extension,0.28,0.02368,0.01474,0.002193,-0.000891
14,extension,0.28,0.03158,0.019575,0.00317,-0.000838
14,extension,0.28,0.03947,0.024269,0.004063,-0.000766
14,extension,0.28,0.04737,0.028783,0.00479,-0.000815
14,extension,0.28,0.05526,0.033638,0.005089,-0.000383
14,extension,0.28,0.06316,0.038501,0.005266,-0.000221
14,extension,0.28,0.07105,0.043261,0.004645,0.000448
14,extension,0.28,0.07895,0.048042,0.003646,0.001127
14,extension,0.28,0.08684,0.052646,0.001986,0.001368
14,extension,0.28,0.09474,0.057223,7.4e-05,0.002358
14,extension,0.28,0.10263,0.061759,-0.002687,0.003284
14,extension,0.28,0.11053,0.066079,-0.006397,0.003789
14,extension,0.28,0.11842,0.070711,-0.010195,0.004728
14,extension,0.28,0.12632,0.074651,-0.015425,0.005523
14,extension,0.28,0.13421,0.079233,-0.020592,0.006508
14,extension,0.28,0.14211,0.083488,-0.026238,0.007238
14,extension,0.28,0.15,0.087547,-0.032606,0.007913
15,extension,0.3,0.0,5.8e-05,1.5e-05,-2.2e-05
15,extension,0.3,0.00789,0.005148,0.000342,-0.000105
15,extension,0.3,0.01579,0.009784,0.000922,-0.000738
15,extension,0.3,0.02368,0.014559,0.001853,-0.000932
15,extension,0.3,0.03158,0.019696,0.002814,-0.000988
15,extension,0.3,0.03947,0.024664,0.004065,-0.001097
15,extension,0.3,0.04737,0.029554,0.004411,-0.001159
15,extension,0.3,0.05526,0.034056,0.005355,-0.001024
15,extension,0.3,0.06316,0.038971,0.005967,-0.000686
15,extension,0.3,0.07105,0.043836,0.005604,-0.00027
15,extension,0.3,0.07895,0.048518,0.00518,0.000369
15,extension,0.3,0.08684,0.053467,0.004077,0.000848
15,extension,0.3,0.09474,0.057706,0.002317,0.001546
15,extension,0.3,0.10263,0.062618,-0.0,0.002256
15,extension,0.3,0.11053,0.067119,-0.002903,0.002946
15,extension,0.3,0.11842,0.071493,-0.006779,0.003292
15,extension,0.3,0.12632,0.076043,-0.011802,0.00434
15,extension,0.3,0.13421,0.080428,-0.016254,0.005314
15,extension,0.3,0.14211,0.084557,-0.021779,0.006316
15,extension,0.3,0.15,0.089231,-0.028159,0.007342
16,extension,0.32,0.0,0.000243,2e-05,-0.00015
16,extension,0.32,0.00789,0.004932,0.00027,-0.000647
16,extension,0.32,0.01579,0.00986,0.00072,-0.000683
16,extension,0.32,0.02368,0.014851,0.001568,-0.001142
16,extension,0.32,0.03158,0.019819,0.002631,-0.001495
16,extension,0.32,0.03947,0.024558,0.003699,-0.001533
16,extension,0.32,0.04737,0.029414,0.004568,-0.001431
16,extension,0.32,0.05526,0.034289,0.005378,-0.00132
16,extension,0.32,0.06316,0.039443,0.006055,-0.001468
16,extension,0.32,0.07105,0.044276,0.006205,-0.001057
16,extension,0.32,0.07895,0.049164,0.00634,-0.000344
16,extension,0.32,0.08684,0.054,0.005462,-9.4e-05
16,extension,0.32,0.09474,0.058646,0.004272,0.00043
16,extension,0.32,0.10263,0.063337,0.002375,0.000942
16,extension,0.32,0.11053,0.067784,-8e-05,0.00177
16,extension,0.32,0.11842,0.072476,-0.003347,0.002499
16,extension,0.32,0.12632,0.077058,-0.007382,0.003213
16,extension,0.32,0.13421,0.081619,-0.012205,0.004041
16,extension,0.32,0.14211,0.085636,-0.017637,0.005223
16,extension,0.32,0.15,0.090071,-0.023492,0.006254
17,extension,0.34,0.0,5.1e-05,4.7e-05,6.1e-05
17,extension,0.34,0.00789,0.00508,-0.00021,-0.000509
17,extension,0.34,0.01579,0.009653,0.000526,-0.000865
17,extension,0.34,0.02368,0.015128,0.001375,-0.001185
17,extension,0.34,0.03158,0.019884,0.002148,-0.001576
17,extension,0.34,0.03947,0.024937,0.003229,-0.001786
17,extension,0.34,0.04737,0.030024,0.004231,-0.001965
17,extension,0.34,0.05526,0.034997,0.00523,-0.001837
17,extension,0.34,0.06316,0.039664,0.005841,-0.001869
17,extension,0.34,0.07105,0.04476,0.006417,-0.001564
17,extension,0.34,0.07895,0.049363,0.006766,-0.001357
17,extension,0.34,0.08684,0.054753,0.006376,-0.0008
17,extension,0.34,0.09474,0.059206,0.005893,-0.000555
17,extension,0.34,0.10263,0.064006,0.004444,0.000185
17,extension,0.34,0.11053,0.068578,0.002599,0.000498
17,extension,0.34,0.11842,0.073294,-0.000484,0.001374
17,extension,0.34,0.12632,0.078121,-0.003828,0.002063
17,extension,0.34,0.13421,0.082278,-0.008085,0.002709
17,extension,0.34,0.14211,0.086785,-0.012973,0.00406
17,extension,0.34,0.15,0.091752,-0.018733,0.005038
18,extension,0.36,0.0,3.7e-05,-2.3e-05,6.5e-05
18,extension,0.36,0.00789,0.005036,-5e-05,-0.000511
18,extension,0.36,0.01579,0.009851,-4.1e-05,-0.000775
18,extension,0.36,0.02368,0.015056,0.000652,-0.001255
18,extension,0.36,0.03158,0.020251,0.001563,-0.001686
18,extension,0.36,0.03947,0.025345,0.002749,-0.001785
18,extension,0.36,0.04737,0.030326,0.003782,-0.001892
18,extension,0.36,0.05526,0.035276,0.004787,-0.00211
18,extension,0.36,0.06316,0.040004,0.005828,-0.002436
18,extension,0.36,0.07105,0.045012,0.006767,-0.002064
18,extension,0.36,0.07895,0.050289,0.007098,-0.002229
18,extension,0.36,0.08684,0.054933,0.007339,-0.001818
18,extension,0.36,0.09474,0.060007,0.006976,-0.001455
18,extension,0.36,0.10263,0.064516,0.006238,-0.00109
18,extension,0.36,0.11053,0.069335,0.004634,-0.000605
18,extension,0.36,0.11842,0.074141,0.002733,1.6e-05
18,extension,0.36,0.12632,0.078827,-0.000793,0.000594
18,extension,0.36,0.13421,0.083448,-0.004292,0.00172
18,extension,0.36,0.14211,0.088026,-0.008473,0.002387
18,extension,0.36,0.15,0.092554,-0.013902,0.003314
19,extension,0.38,0.0,0.000258,-0.000348,-0.0003
19,extension,0.38,0.00789,0.004985,-0.000234,-0.000325
19,extension,0.38,0.01579,0.010213,-0.000201,-0.000695
19,extension,0.38,0.02368,0.015378,0.000288,-0.001102
19,extension,0.38,0.03158,0.020346,0.000858,-0.001509
19,extension,0.38,0.03947,0.025401,0.001853,-0.001717
19,extension,0.38,0.04737,0.030088,0.002713,-0.002389
19,extension,0.38,0.05526,0.035461,0.004047,-0.002651
19,extension,0.38,0.06316,0.040412,0.005112,-0.002202
19,extension,0.38,0.07105,0.045854,0.006235,-0.002698
19,extension,0.38,0.07895,0.05041,0.006864,-0.002654
19,extension,0.38,0.08684,0.055403,0.007683,-0.002783
19,extension,0.38,0.09474,0.060375,0.007854,-0.002303
19,extension,0.38,0.10263,0.065452,0.007263,-0.001951
19,extension,0.38,0.11053,0.070128,0.00659,-0.001703
19,extension,0.38,0.11842,0.074854,0.004812,-0.001168
19,extension,0.38,0.12632,0.079914,0.002473,-0.000414
19,extension,0.38,0.13421,0.084682,-0.000681,0.000149
19,extension,0.38,0.14211,0.08947,-0.004277,0.000631
19,extension,0.38,0.15,0.093627,-0.009068,0.001528
20,extension,0.4,0.0,-0.000198,-7.3e-05,6.3e-05
20,extension,0.4,0.00789,0.00509,-0.000495,-0.000492
20,extension,0.4,0.01579,0.010116,-0.000603,-0.000448
20,extension,0.4,0.02368,0.015394,-9.2e-05,-0.001261
20,extension,0.4,0.03158,0.020451,0.000213,-0.001969
20,extension,0.4,0.03947,0.025401,0.000858,-0.00227
20,extension,0.4,0.04737,0.030553,0.002349,-0.002269
20,extension,0.4,0.05526,0.036042,0.003379,-0.002434
20,extension,0.4,0.06316,0.040816,0.00463,-0.002682
20,extension,0.4,0.07105,0.045949,0.005845,-0.002888
20,extension,0.4,0.07895,0.051016,0.006678,-0.003267
20,extension,0.4,0.08684,0.056149,0.007754,-0.00325
20,extension,0.4,0.09474,0.061147,0.008316,-0.002999
20,extension,0.4,0.10263,0.066348,0.008511,-0.003112
20,extension,0.4,0.11053,0.071301,0.007793,-0.00258
20,extension,0.4,0.11842,0.075949,0.006741,-0.00268
20,extension,0.4,0.12632,0.080756,0.004801,-0.001828
20,extension,0.4,0.13421,0.085801,0.002388,-0.001382
20,extension,0.4,0.14211,0.0902,-0.000913,-0.000653
20,extension,0.4,0.15,0.094978,-0.004704,-7.2e-05
21,extension,0.42,0.0,0.00015,1.5e-05,0.000119
21,extension,0.42,0.00789,0.005078,-0.00055,-0.000357
21,extension,0.42,0.01579,0.010179,-0.000679,-0.000605
21,extension,0.42,0.02368,0.015564,-0.000467,-0.000862
21,extension,0.42,0.03158,0.020596,-0.000251,-0.001557
21,extension,0.42,0.03947,0.025835,0.000283,-0.001601
21,extension,0.42,0.04737,0.031064,0.001271,-0.002034
21,extension,0.42,0.05526,0.035855,0.00213,-0.002443
21,extension,0.42,0.06316,0.041351,0.003728,-0.003082
21,extension,0.42,0.07105,0.046484,0.005296,-0.003041
21,extension,0.42,0.07895,0.051641,0.006191,-0.003457
21,extension,0.42,0.08684,0.0564,0.007411,-0.003446
21,extension,0.42,0.09474,0.061559,0.008137,-0.003852
21,extension,0.42,0.10263,0.066695,0.00875,-0.004018
21,extension,0.42,0.11053,0.071941,0.008897,-0.003681
21,extension,0.42,0.11842,0.076445,0.008114,-0.003296
21,extension,0.42,0.12632,0.081324,0.007038,-0.003389
21,extension,0.42,0.13421,0.086736,0.005089,-0.002766
21,extension,0.42,0.14211,0.091522,0.002778,-0.002349
21,extension,0.42,0.15,0.096258,-0.001236,-0.001508
22,extension,0.44,0.0,-0.000114,-8.4e-05,-3e-06
22,extension,0.44,0.00789,0.004949,-0.000634,-0.000129
22,extension,0.44,0.01579,0.010429,-0.001293,-0.000604
22,extension,0.44,0.02368,0.015712,-0.001421,-0.001088
22,extension,0.44,0.03158,0.020957,-0.000873,-0.00123
22,extension,0.44,0.03947,0.026334,-0.000315,-0.001575
22,extension,0.44,0.04737,0.031692,0.00039,-0.002184
22,extension,0.44,0.05526,0.036577,0.001534,-0.002536
22,extension,0.44,0.06316,0.041578,0.003045,-0.002792
22,extension,0.44,0.07105,0.04683,0.00418,-0.003225
22,extension,0.44,0.07895,0.052093,0.005502,-0.003742
22,extension,0.44,0.08684,0.057355,0.007015,-0.003778
22,extension,0.44,0.09474,0.062392,0.007796,-0.004158
22,extension,0.44,0.10263,0.067527,0.008684,-0.004143
22,extension,0.44,0.11053,0.072389,0.009355,-0.004443
22,extension,0.44,0.11842,0.077752,0.009053,-0.004202
22,extension,0.44,0.12632,0.082887,0.008771,-0.00454
22,extension,0.44,0.13421,0.087783,0.007413,-0.004349
22,extension,0.44,0.14211,0.092563,0.005376,-0.003695
22,extension,0.44,0.15,0.097446,0.002517,-0.003092
23,extension,0.46,0.0,0.000184,-0.00043,-4.8e-05
23,extension,0.46,0.00789,0.005198,-0.001032,-0.000185
23,extension,0.46,0.01579,0.010654,-0.001452,-0.000395
23,extension,0.46,0.02368,0.015589,-0.001631,-0.000513
